Question,Option 1,Option 2,Option 3,Option 4,Option 5
I am reserved,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
I am generally trusting,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
I tend to be lazy,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
I am relaxed and I handle stress well,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
I don't have many artistic interests,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
I am outgoing and sociable,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
I tend to find fault with others,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
I do a thorough job,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
I get nervous easily,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
I have an active imagination,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree
